producto,marca,tamaños,tipo,cantidad
MOCHILA,NOVA,CHICO,BASICO,38
MOCHILA,NOVA,CHICO,ESCOLAR,75
MOCHILA,NOVA,CHICO,DEPORTIVO,12
MOCHILA,NOVA,CHICO,PREMIUM,49
MOCHILA,NOVA,CHICO,ECO,86
MOCHILA,NOVA,MEDIANO,BASICO,23
MOCHILA,NOVA,MEDIANO,ESCOLAR,60
MOCHILA,NOVA,MEDIANO,DEPORTIVO,97
MOCHILA,NOVA,MEDIANO,PREMIUM,34
MOCHILA,NOVA,MEDIANO,ECO,71
MOCHILA,NOVA,GRANDE,BASICO,8
MOCHILA,NOVA,GRANDE,ESCOLAR,45
MOCHILA,NOVA,GRANDE,DEPORTIVO,82
MOCHILA,NOVA,GRANDE,PREMIUM,19
MOCHILA,NOVA,GRANDE,ECO,56
MOCHILA,ALFA,CHICO,BASICO,93
MOCHILA,ALFA,CHICO,ESCOLAR,30
MOCHILA,ALFA,CHICO,DEPORTIVO,67
MOCHILA,ALFA,CHICO,PREMIUM,4
MOCHILA,ALFA,CHICO,ECO,41
MOCHILA,ALFA,MEDIANO,BASICO,78
MOCHILA,ALFA,MEDIANO,ESCOLAR,15
MOCHILA,ALFA,MEDIANO,DEPORTIVO,52
MOCHILA,ALFA,MEDIANO,PREMIUM,89
MOCHILA,ALFA,MEDIANO,ECO,26
MOCHILA,ALFA,GRANDE,BASICO,63
MOCHILA,ALFA,GRANDE,ESCOLAR,100
MOCHILA,ALFA,GRANDE,DEPORTIVO,37
MOCHILA,ALFA,GRANDE,PREMIUM,74
MOCHILA,ALFA,GRANDE,ECO,11
MOCHILA,OMEGA,CHICO,BASICO,48
MOCHILA,OMEGA,CHICO,ESCOLAR,85
MOCHILA,OMEGA,CHICO,DEPORTIVO,22
MOCHILA,OMEGA,CHICO,PREMIUM,59
MOCHILA,OMEGA,CHICO,ECO,96
MOCHILA,OMEGA,MEDIANO,BASICO,33
MOCHILA,OMEGA,MEDIANO,ESCOLAR,70
MOCHILA,OMEGA,MEDIANO,DEPORTIVO,7
MOCHILA,OMEGA,MEDIANO,PREMIUM,44
MOCHILA,OMEGA,MEDIANO,ECO,81
MOCHILA,OMEGA,GRANDE,BASICO,18
MOCHILA,OMEGA,GRANDE,ESCOLAR,55
MOCHILA,OMEGA,GRANDE,DEPORTIVO,92
MOCHILA,OMEGA,GRANDE,PREMIUM,29
MOCHILA,OMEGA,GRANDE,ECO,66
MOCHILA,DELTA,CHICO,BASICO,3
MOCHILA,DELTA,CHICO,ESCOLAR,40
MOCHILA,DELTA,CHICO,DEPORTIVO,77
MOCHILA,DELTA,CHICO,PREMIUM,14
MOCHILA,DELTA,CHICO,ECO,51
MOCHILA,DELTA,MEDIANO,BASICO,88
MOCHILA,DELTA,MEDIANO,ESCOLAR,25
MOCHILA,DELTA,MEDIANO,DEPORTIVO,62
MOCHILA,DELTA,MEDIANO,PREMIUM,99
MOCHILA,DELTA,MEDIANO,ECO,36
MOCHILA,DELTA,GRANDE,BASICO,73
MOCHILA,DELTA,GRANDE,ESCOLAR,10
MOCHILA,DELTA,GRANDE,DEPORTIVO,47
MOCHILA,DELTA,GRANDE,PREMIUM,84
MOCHILA,DELTA,GRANDE,ECO,21
MOCHILA,PRIME,CHICO,BASICO,58
MOCHILA,PRIME,CHICO,ESCOLAR,95
MOCHILA,PRIME,CHICO,DEPORTIVO,32
MOCHILA,PRIME,CHICO,PREMIUM,69
MOCHILA,PRIME,CHICO,ECO,6
MOCHILA,PRIME,MEDIANO,BASICO,43
MOCHILA,PRIME,MEDIANO,ESCOLAR,80
MOCHILA,PRIME,MEDIANO,DEPORTIVO,17
MOCHILA,PRIME,MEDIANO,PREMIUM,54
MOCHILA,PRIME,MEDIANO,ECO,91
MOCHILA,PRIME,GRANDE,BASICO,28
MOCHILA,PRIME,GRANDE,ESCOLAR,65
MOCHILA,PRIME,GRANDE,DEPORTIVO,2
MOCHILA,PRIME,GRANDE,PREMIUM,39
MOCHILA,PRIME,GRANDE,ECO,76
