ID,Videojuego,Genero,Horas_Semanales,Puntuacion_1_10
1,Fortnite,Acción,19,6.2
2,Valorant,Acción,7,8.0
3,Minecraft,Acción,7,6.1
4,FIFA 25,RPG,3,7.8
5,FIFA 25,Deportes,16,7.2
6,GTA V,Acción,12,8.5
7,Apex Legends,Estrategia,11,6.1
8,Apex Legends,Acción,7,6.9
9,Apex Legends,Estrategia,18,9.0
10,Rocket League,RPG,9,9.9
11,Overwatch 2,Acción,20,9.1
12,Call of Duty,Estrategia,14,8.5
13,Minecraft,Aventura,20,9.9
14,League of Legends,Acción,26,6.4
15,Apex Legends,Aventura,25,6.8
16,GTA V,Acción,12,7.7
17,League of Legends,Aventura,31,6.9
18,FIFA 25,Aventura,22,9.2
19,Minecraft,Aventura,4,9.0
20,Overwatch 2,Estrategia,6,6.1
21,Call of Duty,Estrategia,15,8.3
22,Overwatch 2,Deportes,11,6.3
23,League of Legends,RPG,18,8.7
24,Overwatch 2,RPG,27,6.8
25,Valorant,RPG,33,5.5
26,Minecraft,Acción,11,8.1
27,Overwatch 2,RPG,6,6.9
28,Call of Duty,Deportes,35,6.3
29,FIFA 25,Acción,9,8.4
30,FIFA 25,Estrategia,23,5.6
31,Overwatch 2,Aventura,31,5.0
32,GTA V,RPG,13,7.5
33,Fortnite,Estrategia,34,8.0
34,Valorant,Estrategia,12,7.7
35,FIFA 25,Acción,22,7.4
36,Fortnite,Estrategia,21,6.2
37,League of Legends,RPG,7,5.4
38,Rocket League,Acción,10,5.6
39,Rocket League,RPG,12,6.3
40,Call of Duty,Deportes,15,9.6
41,League of Legends,Estrategia,27,10.0
42,Apex Legends,Deportes,35,7.3
43,League of Legends,Aventura,6,6.7
44,Call of Duty,RPG,16,7.9
45,Minecraft,Acción,5,6.1
46,Minecraft,Estrategia,6,7.6
47,GTA V,Deportes,15,7.7
48,Call of Duty,RPG,32,6.2
49,Rocket League,Deportes,14,5.5
50,Overwatch 2,Estrategia,29,7.1
