Videojuego,Genero,Precio_Lanzamiento_USD,Ventas_NA_Millones,Ventas_Europa_Millones,Ventas_Globales_Millones
Wii Sports,Deportes,49.99,41.49,29.02,82.74
Super Mario Bros.,Plataformas,24.99,29.08,3.58,40.24
Mario Kart Wii,Carreras,49.99,15.85,12.88,37.38
Wii Sports Resort,Deportes,49.99,15.75,11.01,33
Pokemon Red/Blue,RPG,29.99,11.27,8.89,31.38
New Super Mario Bros.,Plataformas,39.99,11.28,9.14,30.01
Wii Play,Arcade,49.99,14.03,9.2,29.02
New Super Mario Bros. Wii,Plataformas,49.99,14.59,7.06,28.62
Duck Hunt,Shooter,24.99,26.93,0.63,28.31
Nintendogs,Simulación,34.99,9.07,11,24.24
Mario Kart DS,Carreras,39.99,9.81,7.57,23.42
Pokemon Gold/Silver,RPG,39.99,9,6.18,23.1
Wii Fit,Deportes,89.99,8.94,8.03,22.72
Wii Fit Plus,Deportes,19.99,9.09,8.59,22
Super Mario World,Plataformas,49.99,12.78,3.75,20.61
Mario Party DS,Party,39.99,4.46,6.95,9.31
Mario Kart 7,Carreras,39.99,4.52,4.32,18.98
Super Mario Bros. 3,Plataformas,49.99,9.54,3.1,17.28
Grand Theft Auto V,Acción,59.99,7.01,9.27,20.32
Grand Theft Auto: San Andreas,Acción,49.99,9.43,0.4,17.33
Grand Theft Auto: Vice City,Acción,49.99,8.41,5.49,16.15
Grand Theft Auto III,Acción,49.99,6.99,4.51,13.1
Minecraft,Supervivencia,26.95,5,4.5,17
The Elder Scrolls V: Skyrim,RPG,59.99,5.1,4.6,16.5
Call of Duty: Modern Warfare 3,Shooter,59.99,9.3,4.28,14.76
Call of Duty: Black Ops,Shooter,59.99,9.77,4.29,14.82
Call of Duty: Black Ops II,Shooter,59.99,8.27,4.32,13.46
Call of Duty: Ghosts,Shooter,59.99,6.73,3.38,10.65
Call of Duty: Modern Warfare 2,Shooter,59.99,8.52,3.63,13.53
Call of Duty 4: Modern Warfare,Shooter,59.99,5.57,3.3,13.1
Pokemon Diamond/Pearl,RPG,34.99,6.42,4.52,17.67
Pokemon Ruby/Sapphire,RPG,39.99,4.47,2.65,16.22
Pokemon X/Y,RPG,39.99,5.17,4.05,16.45
Pokemon Sun/Moon,RPG,39.99,2.51,1.88,14.69
Pokemon Black/White,RPG,39.99,5.57,3.26,15.64
Pokemon HeartGold/SoulSilver,RPG,39.99,4.34,2.71,12.72
Super Mario 64,Plataformas,59.99,6.91,2.85,11.91
Super Mario Galaxy,Plataformas,49.99,6.16,3.4,12.78
Super Mario Galaxy 2,Plataformas,49.99,3.56,2.4,7.41
Super Mario Odyssey,Plataformas,59.99,6.32,5.42,27.65
Mario Kart 8,Carreras,59.99,9.44,5.44,26.74
Mario Kart 8 Deluxe,Carreras,59.99,7.25,6.45,55.46
The Legend of Zelda: Ocarina of Time,Aventura,59.99,6.56,1.89,7.6
The Legend of Zelda: Twilight Princess,Aventura,49.99,2.88,1.14,8.85
The Legend of Zelda: Breath of the Wild,Aventura,59.99,5.38,4.1,33
The Legend of Zelda: Tears of the Kingdom,Aventura,69.99,5,3.5,20
Halo 3,Shooter,59.99,7.97,1.91,12.14
Halo: Combat Evolved,Shooter,49.99,6.43,1.35,10
Halo 4,Shooter,59.99,4.22,1.54,9.41
Halo 2,Shooter,49.99,6.82,1.53,8.49
Red Dead Redemption,Acción,59.99,5.17,3.02,15
Red Dead Redemption 2,Acción,59.99,8.5,6.2,65
The Last of Us,Acción,59.99,4,2.5,17
The Last of Us Part II,Acción,59.99,3.5,2.8,10
God of War,Acción,59.99,4.5,3.2,23
God of War Ragnarök,Acción,69.99,3.8,3.1,15
Gran Turismo,Carreras,49.99,3.99,3.91,10.85
Gran Turismo 2,Carreras,49.99,3.96,3.68,9.37
Gran Turismo 3,Carreras,49.99,6.85,5.26,14.89
Gran Turismo 4,Carreras,49.99,3.54,6.05,11.66
Gran Turismo 5,Carreras,59.99,2.97,4.88,11.95
Gran Turismo 6,Carreras,59.99,1.87,3.48,5.22
Final Fantasy VII,RPG,49.99,3.01,2.11,10.02
Final Fantasy VIII,RPG,49.99,2.28,1.79,8.15
Final Fantasy X,RPG,49.99,2.91,2.07,8.05
Final Fantasy XII,RPG,49.99,1.88,1.56,6
Final Fantasy XIII,RPG,59.99,1.7,1.12,7
Final Fantasy XV,RPG,59.99,2.8,2.1,10
Resident Evil 5,Horror,59.99,3.75,2,13.4
Resident Evil 6,Horror,59.99,3.1,1.8,10.6
Resident Evil 7,Horror,59.99,2.8,2.2,14.1
Resident Evil Village,Horror,59.99,2.2,1.9,10
Monster Hunter World,RPG,59.99,2.8,2,21
Monster Hunter Rise,RPG,59.99,1.7,1.2,13.2
Street Fighter II,Lucha,49.99,4,2,6.3
Street Fighter IV,Lucha,59.99,2.5,1.8,8.5
Tekken 3,Lucha,49.99,3.34,1.5,8.3
