productos,marcas,tallas,generos,cantidad
MOCHILA,A,CHICA,FEMENINO,1
MOCHILA,A,MEDIANA,FEMENINO,8
MOCHILA,A,GRANDE,FEMENINO,7
MOCHILA,A,CHICA,MASCULINO,6
MOCHILA,A,MEDIANA,MASCULINO,5
MOCHILA,A,GRANDE,MASCULINO,4
MOCHILA,B,CHICA,FEMENINO,3
MOCHILA,B,MEDIANA,FEMENINO,2
MOCHILA,B,GRANDE,FEMENINO,1
MOCHILA,B,CHICA,MASCULINO,8
MOCHILA,B,MEDIANA,MASCULINO,7
MOCHILA,B,GRANDE,MASCULINO,6
MOCHILA,C,CHICA,FEMENINO,5
MOCHILA,C,MEDIANA,FEMENINO,4
MOCHILA,C,GRANDE,FEMENINO,3
MOCHILA,C,CHICA,MASCULINO,2
MOCHILA,C,MEDIANA,MASCULINO,1
MOCHILA,C,GRANDE,MASCULINO,8
CUADERNO,A,100,FEMENINO,7
CUADERNO,A,150,FEMENINO,6
CUADERNO,A,100,MASCULINO,5
CUADERNO,A,150,MASCULINO,4
CUADERNO,B,100,FEMENINO,3
CUADERNO,B,150,FEMENINO,2
CUADERNO,B,100,MASCULINO,1
CUADERNO,B,150,MASCULINO,8
CUADERNO,C,100,FEMENINO,7
CUADERNO,C,150,FEMENINO,6
CUADERNO,C,100,MASCULINO,5
CUADERNO,C,150,MASCULINO,4
LAPICERA,A,AZUL,FEMENINO,3
LAPICERA,A,NEGRA,FEMENINO,2
LAPICERA,A,ROJA,FEMENINO,1
LAPICERA,A,VERDE,FEMENINO,8
LAPICERA,A,AZUL,MASCULINO,7
LAPICERA,A,NEGRA,MASCULINO,6
LAPICERA,A,ROJA,MASCULINO,5
LAPICERA,A,VERDE,MASCULINO,4
LAPICERA,B,AZUL,FEMENINO,3
LAPICERA,B,NEGRA,FEMENINO,2
LAPICERA,B,ROJA,FEMENINO,1
LAPICERA,B,VERDE,FEMENINO,8
LAPICERA,B,AZUL,MASCULINO,7
LAPICERA,B,NEGRA,MASCULINO,6
LAPICERA,B,ROJA,MASCULINO,5
LAPICERA,B,VERDE,MASCULINO,4
LAPICERA,C,AZUL,FEMENINO,3
LAPICERA,C,NEGRA,FEMENINO,2
LAPICERA,C,ROJA,FEMENINO,1
LAPICERA,C,VERDE,FEMENINO,8
LAPICERA,C,AZUL,MASCULINO,7
LAPICERA,C,NEGRA,MASCULINO,6
LAPICERA,C,ROJA,MASCULINO,5
LAPICERA,C,VERDE,MASCULINO,4
BOTELLA,A,500,FEMENINO,3
BOTELLA,A,750,FEMENINO,2
BOTELLA,A,1000,FEMENINO,1
BOTELLA,A,1250,FEMENINO,8
BOTELLA,A,1500,FEMENINO,7
BOTELLA,A,500,MASCULINO,6
BOTELLA,A,750,MASCULINO,5
BOTELLA,A,1000,MASCULINO,4
BOTELLA,A,1250,MASCULINO,3
BOTELLA,A,1500,MASCULINO,2
BOTELLA,B,500,FEMENINO,1
BOTELLA,B,750,FEMENINO,8
BOTELLA,B,1000,FEMENINO,7
BOTELLA,B,1250,FEMENINO,6
BOTELLA,B,1500,FEMENINO,5
BOTELLA,B,500,MASCULINO,4
BOTELLA,B,750,MASCULINO,3
BOTELLA,B,1000,MASCULINO,2
BOTELLA,B,1250,MASCULINO,1
BOTELLA,B,1500,MASCULINO,8
BOTELLA,C,500,FEMENINO,7
BOTELLA,C,750,FEMENINO,6
BOTELLA,C,1000,FEMENINO,5
BOTELLA,C,1250,FEMENINO,4
BOTELLA,C,1500,FEMENINO,3
BOTELLA,C,500,MASCULINO,2
BOTELLA,C,750,MASCULINO,1
BOTELLA,C,1000,MASCULINO,8
BOTELLA,C,1250,MASCULINO,7
BOTELLA,C,1500,MASCULINO,6
MOCHILA,A,CHICA,FEMENINO,8
MOCHILA,A,MEDIANA,FEMENINO,7
MOCHILA,A,GRANDE,FEMENINO,6
MOCHILA,A,CHICA,MASCULINO,5
MOCHILA,A,MEDIANA,MASCULINO,4
MOCHILA,A,GRANDE,MASCULINO,3
MOCHILA,B,CHICA,FEMENINO,2
MOCHILA,B,MEDIANA,FEMENINO,1
MOCHILA,B,GRANDE,FEMENINO,8
MOCHILA,B,CHICA,MASCULINO,7
MOCHILA,B,MEDIANA,MASCULINO,6
MOCHILA,B,GRANDE,MASCULINO,5
MOCHILA,C,CHICA,FEMENINO,4
MOCHILA,C,MEDIANA,FEMENINO,3
MOCHILA,C,GRANDE,FEMENINO,2
MOCHILA,C,CHICA,MASCULINO,1
MOCHILA,C,MEDIANA,MASCULINO,8
MOCHILA,C,GRANDE,MASCULINO,7
CUADERNO,A,100,FEMENINO,6
CUADERNO,A,150,FEMENINO,5
CUADERNO,A,100,MASCULINO,4
CUADERNO,A,150,MASCULINO,3
CUADERNO,B,100,FEMENINO,2
CUADERNO,B,150,FEMENINO,1
CUADERNO,B,100,MASCULINO,8
CUADERNO,B,150,MASCULINO,7
CUADERNO,C,100,FEMENINO,6
CUADERNO,C,150,FEMENINO,5
CUADERNO,C,100,MASCULINO,4
CUADERNO,C,150,MASCULINO,3
LAPICERA,A,AZUL,FEMENINO,2
LAPICERA,A,NEGRA,FEMENINO,1
LAPICERA,A,ROJA,FEMENINO,8
LAPICERA,A,VERDE,FEMENINO,7
LAPICERA,A,AZUL,MASCULINO,6
LAPICERA,A,NEGRA,MASCULINO,5
LAPICERA,A,ROJA,MASCULINO,4
LAPICERA,A,VERDE,MASCULINO,3
LAPICERA,B,AZUL,FEMENINO,2
LAPICERA,B,NEGRA,FEMENINO,1
LAPICERA,B,ROJA,FEMENINO,8
LAPICERA,B,VERDE,FEMENINO,7
LAPICERA,B,AZUL,MASCULINO,6
LAPICERA,B,NEGRA,MASCULINO,5
LAPICERA,B,ROJA,MASCULINO,4
LAPICERA,B,VERDE,MASCULINO,3
LAPICERA,C,AZUL,FEMENINO,2
LAPICERA,C,NEGRA,FEMENINO,1
LAPICERA,C,ROJA,FEMENINO,8
LAPICERA,C,VERDE,FEMENINO,7
LAPICERA,C,AZUL,MASCULINO,6
LAPICERA,C,NEGRA,MASCULINO,5
LAPICERA,C,ROJA,MASCULINO,4
LAPICERA,C,VERDE,MASCULINO,3
BOTELLA,A,500,FEMENINO,2
BOTELLA,A,750,FEMENINO,1
BOTELLA,A,1000,FEMENINO,8
BOTELLA,A,1250,FEMENINO,7
BOTELLA,A,1500,FEMENINO,6
