Precio_Venta_MXN,Kilometraje_km,Anio_Modelo,Dias_En_Inventario,unidades vendidas
468396,37398,2026,13,9
912050,99833,2021,141,78
743635,157766,2017,100,66
640967,133139,2021,31,44
300134,146148,2026,130,44
300116,120287,2022,16,86
224724,126148,2024,137,9
846956,153609,2020,73,70
642859,48692,2024,166,21
725216,90649,2023,54,10
195850,43712,2020,100,53
926831,177842,2026,109,98
820981,170210,2023,87,74
343501,11900,2018,173,77
320005,128476,2022,162,72
321221,166918,2025,137,79
414267,36601,2018,8,52
584062,104390,2016,7,13
512598,165210,2024,36,84
404246,10941,2025,18,46
651127,127049,2023,3,51
287410,57036,2019,28,38
404951,166769,2018,70,19
462099,174935,2016,172,93
531174,170247,2015,149,79
784585,87987,2025,28,65
333749,155857,2021,54,41
575961,152796,2020,65,83
636159,60843,2016,100,55
215767,150060,2022,21,45
647810,11476,2025,13,46
311304,109347,2018,57,23
230090,45252,2022,49,10
910642,26099,2021,118,56
923537,18467,2019,54,89
802466,126851,2024,138,7
414553,64478,2024,53,86
255208,131834,2026,44,83
706859,16437,2022,47,28
518917,60176,2023,53,64
273969,99411,2019,74,17
561286,143377,2024,46,76
206479,60782,2019,13,71
880177,114531,2016,165,36
379261,160046,2019,102,7
690142,112776,2017,24,98
420018,45768,2021,2,45
580452,9270,2024,81,90
600967,157267,2019,100,68
322338,8722,2022,142,78
926580,158073,2015,138,76
776852,97564,2017,163,20
903414,169337,2017,153,37
869017,144787,2023,131,47
640383,179638,2019,111,50
889843,66375,2026,102,5
248139,139258,2023,17,55
330907,75338,2023,12,16
214825,88978,2015,116,75
430504,114813,2016,24,69
479282,157893,2019,29,93
388939,177215,2018,171,75
818128,139448,2024,153,37
454700,78109,2023,122,97
396320,78737,2021,90,42
597876,134077,2020,65,33
288512,46786,2021,84,91
797692,24333,2015,119,38
237404,67059,2015,156,8
939903,55267,2022,16,47
774628,56854,2016,175,80
333011,45881,2026,104,19
184252,12366,2024,92,47
807905,8128,2025,27,13
724280,177851,2023,170,69
741336,79860,2021,175,48
773878,72257,2020,162,34
237014,123938,2015,165,23
456019,43194,2015,134,57
269219,171243,2016,135,67
844590,142610,2020,153,95
659940,20647,2020,33,44
434791,78077,2016,55,17
228940,158846,2015,7,84
419456,170328,2024,57,63
430391,86795,2019,126,71
741797,112347,2019,12,10
670919,34231,2016,16,32
863154,178455,2020,43,77
543605,45543,2023,117,84
272088,169978,2016,135,44
729198,118688,2024,111,81
765804,111354,2016,51,85
612183,94720,2017,160,39
773645,45367,2021,75,90
560223,35892,2020,8,29
582504,43585,2026,45,24
509207,37627,2022,59,69
199573,141427,2022,132,64
263076,66272,2020,104,14
204200,15122,2026,157,84
670036,174593,2025,157,20
422054,159663,2024,98,81
571599,167357,2017,156,1
878826,179109,2017,79,80
371955,35432,2015,124,79
495995,74342,2021,172,79
761774,137692,2019,4,67
356175,126804,2018,90,48
239275,31932,2024,104,71
403109,147771,2018,137,28
304140,44277,2018,119,79
895867,44168,2020,133,56
802253,98971,2022,56,46
667721,108764,2022,96,51
851025,106515,2019,178,57
798827,21010,2020,75,4
323659,158556,2018,143,14
867270,51480,2026,32,25
595294,27665,2025,28,12
801729,160531,2023,22,44
869990,172239,2022,17,67
424863,155872,2024,59,66
264740,146665,2026,90,48
355510,119667,2024,106,86
508873,101400,2015,26,57
809871,20223,2016,25,8
842763,76479,2023,138,77
185353,70220,2022,45,58
573275,50457,2017,83,64
501406,131599,2022,11,57
351023,91778,2026,104,56
272296,19183,2015,68,10
439964,43532,2024,95,56
906040,124570,2018,156,80
428866,18323,2017,65,31
579469,153961,2020,49,61
721325,91651,2021,175,4
459995,89103,2018,52,35
928272,108671,2021,102,44
921084,149319,2023,57,99
373872,65867,2025,47,22
562881,123653,2016,159,28
411676,104003,2025,174,41
399327,51730,2017,26,100
208403,158760,2019,114,86
649365,144550,2017,5,4
567063,120229,2025,84,24
219639,153852,2022,52,83
394558,156776,2026,105,6
879365,128964,2024,54,86
364463,151477,2022,161,29
291569,127058,2022,178,92
556879,124025,2026,166,30
938951,113257,2026,155,44
366383,136725,2023,15,67
697544,32756,2018,61,13
766447,159152,2019,122,56
362981,157573,2019,21,51
740727,10118,2022,46,79
463193,149518,2021,134,100
666875,27552,2023,38,67
667818,63646,2022,62,41
592547,135114,2016,86,41
249523,33133,2024,78,42
823183,148144,2026,46,82
427001,150623,2018,141,33
323619,93807,2020,3,17
211397,6118,2026,6,34
634988,55232,2016,93,3
701725,112962,2021,8,11
192773,176708,2017,172,10
574312,115567,2017,108,78
354402,50466,2025,161,73
676783,115951,2016,75,70
314262,99497,2025,77,47
712022,141473,2022,50,72
477786,23722,2020,11,17
901282,138180,2015,95,91
285891,99722,2026,156,51
442621,173524,2015,70,94
267375,64828,2021,169,16
892014,115709,2022,16,50
855551,168105,2019,68,70
378615,22939,2026,99,50
688188,169015,2025,48,45
809261,125380,2019,64,17
607505,16871,2018,90,39
587831,57669,2020,76,24
366226,128930,2020,139,31
251689,16786,2017,101,69
870856,106880,2023,89,64
873322,65530,2026,18,61
667488,113660,2025,19,37
441053,13005,2021,55,96
448891,157519,2015,102,9
738986,175361,2021,118,35
870775,174554,2019,154,12
863057,136189,2019,134,34
780504,27765,2016,4,97
674364,137696,2018,108,37
244788,9303,2026,115,91
304454,8872,2020,29,50
871887,61632,2024,59,70
646950,90513,2025,125,46
187082,139821,2021,98,27
258133,124577,2025,17,77
690896,83033,2019,107,97
183897,52885,2023,43,27
303822,179497,2017,80,78
602525,79582,2015,162,27
712759,83993,2018,8,72
682010,33634,2023,141,79
352687,144092,2018,106,45
728378,126394,2016,8,74
362682,43635,2024,96,28
430558,19417,2019,94,8
754798,124087,2017,65,10
680217,119539,2026,171,45
833902,52820,2023,39,91
686362,171401,2018,81,13
617598,31435,2020,84,46
252130,80659,2016,88,71
463141,170133,2020,86,21
384206,78452,2017,93,73
367872,116742,2026,86,31
929218,74579,2026,44,81
482685,52988,2023,137,58
866876,177196,2025,165,55
665977,76633,2016,74,18
792005,161467,2026,36,47
567031,45242,2026,101,86
624216,42293,2023,156,2
559239,10448,2019,170,76
330337,119042,2022,171,50
736288,69492,2016,170,72
396195,156263,2020,104,67
198723,87812,2017,66,44
677014,174434,2026,55,31
316375,37467,2026,176,63
904153,157009,2024,91,15
914525,140904,2019,22,59
884446,139911,2026,101,10
465022,152837,2022,155,65
191902,138179,2024,121,63
894805,114589,2015,93,9
509702,27968,2019,108,76
924324,10692,2017,141,42
921987,166148,2018,173,79
836817,112914,2016,10,5
406726,144394,2023,9,18
476525,89266,2017,155,50
835375,25529,2016,34,19
424030,26908,2024,129,33
310509,124974,2025,160,67
608737,80304,2023,89,15
900839,40092,2021,93,68
715943,91029,2020,71,11
618947,16237,2015,67,18
254826,106845,2019,148,59
653556,52074,2026,117,80
942341,144573,2025,94,18
287865,59313,2025,163,30
579114,84664,2017,99,93
855577,7034,2015,113,99
750392,17678,2018,103,59
716702,73686,2016,91,45
720913,88989,2016,90,35
456808,110004,2017,17,62
406066,56041,2022,18,60
803208,126622,2022,173,30
803787,155521,2026,116,3
847646,141474,2021,93,16
883195,11933,2020,91,96
573734,89089,2023,82,42
566168,23363,2018,68,49
794687,47358,2026,114,47
680472,177666,2015,1,79
720514,29937,2022,58,7
792760,92305,2021,154,9
865304,113177,2021,109,28
440256,127931,2017,148,49
469199,102939,2018,116,68
252366,6710,2024,87,50
625276,62131,2023,10,45
207676,95600,2020,59,94
538510,20377,2019,41,17
597836,66360,2017,105,58
400637,10811,2023,133,55
634942,18751,2019,122,48
203485,74462,2019,145,81
208758,28225,2018,22,27
813402,104320,2018,98,96
457347,125656,2026,169,34
277837,145103,2015,68,55
582127,40026,2021,139,53
772895,34309,2023,56,85
346182,23299,2017,179,44
659626,116375,2026,149,29
245718,128633,2016,99,3
219795,10528,2017,76,37
589143,168837,2015,26,83
596289,14095,2020,115,1
670821,99727,2025,147,90
739090,129086,2025,109,55
931406,157420,2021,47,15
577551,129965,2025,71,31
428676,145302,2025,154,56
792293,64404,2016,40,32
388541,147594,2022,133,11
518008,19020,2020,149,67
240411,161593,2018,132,68
199520,100829,2019,23,12
921239,148027,2022,106,29
823705,84156,2017,84,25
715900,117626,2017,143,66
494894,97120,2025,116,74
313437,133028,2018,109,73
300457,19285,2015,136,94
372687,15562,2023,41,77
602905,48243,2022,112,33
730239,32920,2022,147,11
688352,157562,2024,112,62
395549,43362,2020,103,92
915246,175776,2021,46,98
748181,63957,2020,156,24
606853,36871,2023,68,24
651025,143197,2017,122,4
503092,120274,2017,15,15
370753,92184,2017,165,56
454099,102189,2024,129,55
763542,130860,2017,111,38
191083,44980,2023,24,31
269376,179358,2026,27,83
215422,175589,2018,40,47
211361,118807,2021,164,81
838705,39920,2023,24,97
721817,124040,2025,24,32
545114,17635,2026,4,21
255332,10364,2021,67,96
558544,50095,2023,34,64
544573,85959,2026,177,30
313365,156948,2017,116,63
514066,132255,2018,23,52
486849,134974,2022,109,91
654205,79461,2020,69,26
669022,65539,2019,95,100
214884,69932,2018,62,94
468452,177839,2022,169,19
661912,12019,2015,57,17
567415,156731,2023,54,54
839497,106268,2015,70,5
687194,81758,2022,101,30
305460,131920,2018,57,44
234338,90167,2023,138,97
674663,157849,2025,168,100
200414,162623,2019,135,16
631047,78801,2017,103,90
903977,53445,2023,166,10
623115,108661,2025,85,75
478891,164664,2023,61,85
675332,41866,2018,3,90
532855,114019,2025,128,23
600125,115523,2018,179,90
904928,133295,2026,86,12
477299,28024,2022,47,52
920117,130269,2016,76,47
