Precio_Venta_MXN,Kilometraje_km,Anio_Modelo,Dias_En_Inventario
468396,37398,2026,13
912050,99833,2021,141
743635,157766,2017,100
640967,133139,2021,31
300134,146148,2026,130
300116,120287,2022,16
224724,126148,2024,137
846956,153609,2020,73
642859,48692,2024,166
725216,90649,2023,54
195850,43712,2020,100
926831,177842,2026,109
820981,170210,2023,87
343501,11900,2018,173
320005,128476,2022,162
321221,166918,2025,137
414267,36601,2018,8
584062,104390,2016,7
512598,165210,2024,36
404246,10941,2025,18
651127,127049,2023,3
287410,57036,2019,28
404951,166769,2018,70
462099,174935,2016,172
531174,170247,2015,149
784585,87987,2025,28
333749,155857,2021,54
575961,152796,2020,65
636159,60843,2016,100
215767,150060,2022,21
647810,11476,2025,13
311304,109347,2018,57
230090,45252,2022,49
910642,26099,2021,118
923537,18467,2019,54
802466,126851,2024,138
414553,64478,2024,53
255208,131834,2026,44
706859,16437,2022,47
518917,60176,2023,53
273969,99411,2019,74
561286,143377,2024,46
206479,60782,2019,13
880177,114531,2016,165
379261,160046,2019,102
690142,112776,2017,24
420018,45768,2021,2
580452,9270,2024,81
600967,157267,2019,100
322338,8722,2022,142
926580,158073,2015,138
776852,97564,2017,163
903414,169337,2017,153
869017,144787,2023,131
640383,179638,2019,111
889843,66375,2026,102
248139,139258,2023,17
330907,75338,2023,12
214825,88978,2015,116
430504,114813,2016,24
479282,157893,2019,29
388939,177215,2018,171
818128,139448,2024,153
454700,78109,2023,122
396320,78737,2021,90
597876,134077,2020,65
288512,46786,2021,84
797692,24333,2015,119
237404,67059,2015,156
939903,55267,2022,16
774628,56854,2016,175
333011,45881,2026,104
184252,12366,2024,92
807905,8128,2025,27
724280,177851,2023,170
741336,79860,2021,175
773878,72257,2020,162
237014,123938,2015,165
456019,43194,2015,134
269219,171243,2016,135
844590,142610,2020,153
659940,20647,2020,33
434791,78077,2016,55
228940,158846,2015,7
419456,170328,2024,57
430391,86795,2019,126
741797,112347,2019,12
670919,34231,2016,16
863154,178455,2020,43
543605,45543,2023,117
272088,169978,2016,135
729198,118688,2024,111
765804,111354,2016,51
612183,94720,2017,160
773645,45367,2021,75
560223,35892,2020,8
582504,43585,2026,45
509207,37627,2022,59
199573,141427,2022,132
263076,66272,2020,104
204200,15122,2026,157
670036,174593,2025,157
422054,159663,2024,98
571599,167357,2017,156
878826,179109,2017,79
371955,35432,2015,124
495995,74342,2021,172
761774,137692,2019,4
356175,126804,2018,90
239275,31932,2024,104
403109,147771,2018,137
304140,44277,2018,119
895867,44168,2020,133
802253,98971,2022,56
667721,108764,2022,96
851025,106515,2019,178
798827,21010,2020,75
323659,158556,2018,143
867270,51480,2026,32
595294,27665,2025,28
801729,160531,2023,22
869990,172239,2022,17
424863,155872,2024,59
264740,146665,2026,90
355510,119667,2024,106
508873,101400,2015,26
809871,20223,2016,25
842763,76479,2023,138
185353,70220,2022,45
573275,50457,2017,83
501406,131599,2022,11
351023,91778,2026,104
272296,19183,2015,68
439964,43532,2024,95
906040,124570,2018,156
428866,18323,2017,65
579469,153961,2020,49
721325,91651,2021,175
459995,89103,2018,52
928272,108671,2021,102
921084,149319,2023,57
373872,65867,2025,47
562881,123653,2016,159
411676,104003,2025,174
399327,51730,2017,26
208403,158760,2019,114
649365,144550,2017,5
567063,120229,2025,84
219639,153852,2022,52
394558,156776,2026,105
879365,128964,2024,54
364463,151477,2022,161
291569,127058,2022,178
556879,124025,2026,166
938951,113257,2026,155
366383,136725,2023,15
697544,32756,2018,61
766447,159152,2019,122
362981,157573,2019,21
740727,10118,2022,46
463193,149518,2021,134
666875,27552,2023,38
667818,63646,2022,62
592547,135114,2016,86
249523,33133,2024,78
823183,148144,2026,46
427001,150623,2018,141
323619,93807,2020,3
211397,6118,2026,6
634988,55232,2016,93
701725,112962,2021,8
192773,176708,2017,172
574312,115567,2017,108
354402,50466,2025,161
676783,115951,2016,75
314262,99497,2025,77
712022,141473,2022,50
477786,23722,2020,11
901282,138180,2015,95
285891,99722,2026,156
442621,173524,2015,70
267375,64828,2021,169
892014,115709,2022,16
855551,168105,2019,68
378615,22939,2026,99
688188,169015,2025,48
809261,125380,2019,64
607505,16871,2018,90
587831,57669,2020,76
366226,128930,2020,139
251689,16786,2017,101
870856,106880,2023,89
873322,65530,2026,18
667488,113660,2025,19
441053,13005,2021,55
448891,157519,2015,102
738986,175361,2021,118
870775,174554,2019,154
863057,136189,2019,134
780504,27765,2016,4
674364,137696,2018,108
244788,9303,2026,115
304454,8872,2020,29
871887,61632,2024,59
646950,90513,2025,125
187082,139821,2021,98
258133,124577,2025,17
690896,83033,2019,107
183897,52885,2023,43
303822,179497,2017,80
602525,79582,2015,162
712759,83993,2018,8
682010,33634,2023,141
352687,144092,2018,106
728378,126394,2016,8
362682,43635,2024,96
430558,19417,2019,94
754798,124087,2017,65
680217,119539,2026,171
833902,52820,2023,39
686362,171401,2018,81
617598,31435,2020,84
252130,80659,2016,88
463141,170133,2020,86
384206,78452,2017,93
367872,116742,2026,86
